p0,rr,entrega,cancela,reocupa,llenado,autogestion,no_show_base,no_show_medapp,reduccion_no_show_rel,ocupacion_base,ocupacion_medapp,delta_ocupacion_pp,delta_ocupacion_rel,reduccion_tiempo_asignacion
0.2936790774491914,1.1645743643992472,0.9073997581576775,0.1417108185390828,0.12350194946064877,0.8577993158541204,0.4677179946805837,0.2902829028290283,0.1507537688442211,0.4806660420747807,0.6010416666666667,0.7041666666666667,0.10312500000000002,0.17157712305026007,0.4677179946805837
0.3237381041621465,1.2413710637810518,0.869789833007443,0.2861136805250759,0.14361122764009232,0.8227994781306499,0.6327285103813962,0.3499361430395913,0.15699208443271767,0.5513693353619783,0.5302083333333333,0.665625,0.13541666666666674,0.25540275049115935,0.6327285103813962
0.25234741234625346,1.2945265691362111,0.9558883688506303,0.2911128073606659,0.29885382630545776,0.9062649520418595,0.5177367399924366,0.2560553633217993,0.0971563981042654,0.6205648776738824,0.671875,0.79375,0.12187499999999996,0.1813953488372093,0.5177367399924366
0.25656310570796526,1.1761036442055737,0.9781507256067823,0.1570501620571545,0.3474297456070502,0.885344304016451,0.6325394900298663,0.24912689173457508,0.1330977620730271,0.4657430952302324,0.671875,0.7666666666666667,0.09479166666666672,0.14108527131782944,0.6325394900298663
0.3240705322625702,1.0671817020284464,0.9268580915196918,0.44505398555277964,0.37918890493664364,0.9098070193787449,0.668251132952955,0.3120728929384966,0.2048780487804878,0.34349296777639315,0.6291666666666667,0.6791666666666667,0.050000000000000044,0.07947019867549665,0.668251132952955
0.28466108120088074,1.1335914778731473,0.8761539657435354,0.21947557851658517,0.2527014704430499,0.8877437780482055,0.5084281477011545,0.26122931442080377,0.17295980511571254,0.3379004745344216,0.6510416666666666,0.7072916666666667,0.05625000000000002,0.08640000000000003,0.5084281477011545
0.3120619233725386,1.1899999415228681,0.9735655633804046,0.164569733212132,0.3493363517216761,0.7955915732597786,0.5645887618509826,0.3059895833333333,0.19492656875834447,0.3629633838025168,0.5552083333333333,0.628125,0.07291666666666674,0.1313320825515949,0.5645887618509826
0.326143665537323,1.2061162856166094,0.8868342866499777,0.41224623416011397,0.11396061941925839,0.949228901733584,0.5176210005567102,0.31394072447859495,0.13410404624277455,0.5728364121427705,0.6510416666666666,0.7802083333333333,0.12916666666666665,0.1983999999999999,0.5176210005567102
0.3387713909401225,1.1686649441911339,0.9636933315036097,0.12600452875165669,0.0777514618896818,0.8473215820866655,0.6951740663086179,0.3507917174177832,0.2082294264339152,0.40640153089498476,0.5552083333333333,0.6614583333333334,0.10625000000000007,0.1913696060037524,0.6951740663086179
0.3273677603772551,1.2854648397848267,0.9694496146011963,0.44783960637162346,0.14034296169433857,0.9161013573658423,0.25979438392500886,0.33217993079584773,0.11779141104294479,0.645398773006135,0.603125,0.7489583333333333,0.14583333333333326,0.24179620034542304,0.25979438392500886
0.2893471414565166,1.1573625821027953,0.9523855115177806,0.46499023843432685,0.14890064668825673,0.7686531303904024,0.6841254702815077,0.2808683853459973,0.13411078717201166,0.5225137674117266,0.5520833333333334,0.61875,0.06666666666666665,0.12075471698113205,0.6841254702815077
0.2722598718031257,1.127191404924376,0.8779665597783803,0.2618337683514418,0.325754694794288,0.885920113447859,0.6366937789561665,0.2606132075471698,0.16987951807228915,0.3481546093877774,0.653125,0.7177083333333333,0.06458333333333333,0.09888357256778302,0.6366937789561665
0.28572612980611234,1.069650368885852,0.9317791013882735,0.38006980089973774,0.3671491845030298,0.8654159804711006,0.22012726870907684,0.2857142857142857,0.17091836734693877,0.4017857142857143,0.609375,0.6770833333333334,0.06770833333333337,0.11111111111111116,0.22012726870907684
0.24543832282638675,1.1538241696016422,0.8848626155360741,0.3635906972624062,0.15030081940700957,0.8304941464364131,0.4529533320333377,0.24659231722428748,0.11053315994798439,0.5517574870451085,0.6333333333333333,0.7125,0.07916666666666672,0.125,0.4529533320333377
